player_name,player_id,total_four
"AM Nayar",48,41
"AC Gilchrist",53,41
"Y Venugopal Rao",54,41
"PP Chawla",67,41
"AB Agarkar",82,41
"SE Marsh",100,41
"PC Valthaty",167,41
"DA Warner",187,41
"RJ Harris",188,41
"M Morkel",190,41
"Y Nagar",199,41
"SJ Srivastava",234,41
"AJ Finch",254,41
"Sunny Singh",264,41
"VR Aaron",296,41
"SR Tendulkar",133,41
"AD Mascarenhas",137,41
"Kamran Khan",160,41
"SL Malinga",194,41
"AT Rayudu",208,41
"R Sathish",209,41
"R McLaren",210,41
"AA Jhunjhunwala",211,41
"P Dogra",212,41
"A Uniyal",213,41
"SW Tait",238,41
"AG Murtaza",286,41
"JR Hopes",25,41
"IK Pathan",29,41
"V Sehwag",41,41
"Harbhajan Singh",50,41
"Y Venugopal Rao",54,41
"A Symonds",56,41
"RG Sharma",57,41
"DS Kulkarni",80,41
"AB Agarkar",82,41
"MM Patel",126,41
"SR Tendulkar",133,41
"TL Suman",178,41
"DA Warner",187,41
"M Morkel",190,41
"SL Malinga",194,41
"Y Nagar",199,41
"AT Rayudu",208,41
"KA Pollard",221,41
"AC Blizzard",289,41
"CA Ingram",292,41
"S Nadeem",293,41
"DE Bollinger",248,41
"J Theron",233,41
"S Tyagi",218,41
"JM Kemp",217,41
"R Ashwin",201,41
"SB Jakati",186,41
"M Vijay",185,41
"RR Powar",153,41
"JA Morkel",109,41
"SE Marsh",100,41
"VRV Singh",78,41
"PP Chawla",67,41
"S Sohal",65,41
"DPMD Jayawardene",64,41
"IK Pathan",29,41
"Yuvraj Singh",27,41
"KC Sangakkara",26,41
"Gagandeep Singh",437,40
"PP Ojha",131,40
"SE Marsh",100,40
"D Kalyankrishna",99,40
"DNT Zoysa",98,40
"HH Gibbs",97,40
"VRV Singh",78,40
"S Sreesanth",77,40
"RR Sarwan",76,40
"Shahid Afridi",70,40
"PP Chawla",67,40
"DPMD Jayawardene",64,40
"RP Singh",61,40
"SB Bangar",59,40
"RG Sharma",57,40
"VVS Laxman",55,40
"Y Venugopal Rao",54,40
"AC Gilchrist",53,40
"IK Pathan",29,40
"Yuvraj Singh",27,40
"KC Sangakkara",26,40
"K Goel",24,40
"R Dravid",6,40
"KC Sangakkara",26,40
