player_name,player_id,total_six
"Z Khan",15,22
"V Kohli",8,22
"SR Watson",32,22
"V Sehwag",41,22
"AM Nayar",48,22
"DS Kulkarni",80,22
"M Kartik",83,22
"AM Rahane",85,22
"R Bhatia",89,22
"L Balaji",151,22
"GJ Bailey",197,22
"CA Pujara",203,22
"STR Binny",255,22
"GJ Maxwell",305,22
"SPD Smith",306,22
"JP Faulkner",310,22
"DA Miller",320,22
"P Awana",333,22
"MG Johnson",357,22
"KW Richardson",363,22
"PV Tambe",370,22
"AR Patel",374,22
"BB McCullum",2,22
"V Kohli",8,22
"P Kumar",14,22
"SR Watson",32,22
"RA Jadeja",35,22
"DJ Bravo",71,22
"DS Kulkarni",80,22
"AB de Villiers",110,22
"DR Smith",147,22
"CH Gayle",162,22
"AJ Finch",254,22
"STR Binny",255,22
"S Aravind",270,22
"VR Aaron",296,22
"Sachin Baby",369,22
"PV Tambe",370,22
"YS Chahal",382,22
"AD Nath",414,22
"S Kaushik",432,22
"CJ Jordan",434,22
"SA Yadav",308,21
"GJ Maxwell",305,21
"RN ten Doeschate",284,21
"Shakib Al Hasan",276,21
"UT Yadav",232,21
"GJ Bailey",197,21
"M Morkel",190,21
"L Balaji",151,21
"MK Pandey",96,21
"PP Chawla",67,21
"RV Uthappa",46,21
"V Sehwag",41,21
"G Gambhir",40,21
"YK Pathan",31,21
"A Nehra",73,21
"DJ Bravo",71,21
"S Dhawan",42,21
"RA Jadeja",35,21
"SK Raina",21,21
"MS Dhoni",20,21
"BB McCullum",2,21
"V Kohli",8,21
"AB de Villiers",110,21
"CH Gayle",162,21
"M Vijay",185,21
"GJ Bailey",197,21
"Mandeep Singh",236,21
"S Aravind",270,21
"GJ Maxwell",305,21
"HV Patel",311,21
"DA Miller",320,21
"M Vohra",345,21
"MG Johnson",357,21
"Sandeep Sharma",367,21
"AR Patel",374,21
"MA Starc",378,21
"YS Chahal",382,21
"Karanveer Singh",392,21
"Anureet Singh",395,21
"D Wiese",401,21
"SN Khan",402,21
"S Dhawan",42,21
"I Sharma",84,21
"MC Henriques",163,21
"KV Sharma",166,21
"M Vijay",185,21
"DA Warner",187,21
"GJ Bailey",197,21
"EJG Morgan",216,21
"Bipul Sharma",228,21
"B Kumar",299,21
"GJ Maxwell",305,21
"DA Miller",320,21
"Gurkeerat Singh",329,21
"M Vohra",345,21
"Sandeep Sharma",367,21
"AR Patel",374,21
"BE Hendricks",387,21
"Anureet Singh",395,21
"TA Boult",458,21
"S Gopal",388,21
"LMP Simmons",383,21
"JJ Bumrah",375,21
"CJ Anderson",372,21
"PV Tambe",370,21
"KK Nair",339,21
"Ankit Sharma",314,21
"JP Faulkner",310,21
"KK Cooper",309,21
"KA Pollard",221,21
"AT Rayudu",208,21
"PP Ojha",131,21
"BJ Hodge",104,21
"AM Rahane",85,21
"DS Kulkarni",80,21
"RG Sharma",57,21
"Harbhajan Singh",50,21
"AM Nayar",48,21
"SR Watson",32,21
"MEK Hussey",19,21
"I Sharma",84,21
"DR Smith",147,21
"RS Bopara",161,21
"KV Sharma",166,21
"DA Warner",187,21
"R Ashwin",201,21
"B Kumar",299,21
"F du Plessis",303,21
"IC Pandey",359,21
"MM Sharma",364,21
"Parvez Rasool",366,21
"KS Williamson",396,21
"TA Boult",458,21
"Karanveer Singh",392,21
"AR Patel",374,21
"MG Johnson",357,21
"M Vohra",345,21
"P Awana",333,21
"DA Miller",320,21
"SP Narine",315,21
"SC Ganguly",1,21
"V Kohli",8,21
"Z Khan",15,21
"RV Uthappa",46,21
"A Nehra",73,21
"R Vinay Kumar",81,21
"AB Dinda",106,21
"AB de Villiers",110,21
"TM Dilshan",135,21
"JD Ryder",157,21
"CH Gayle",162,21
"M Manhas",171,21
"DL Vettori",175,21
"KP Appanna",181,21
"AD Mathews",191,21
"R Sharma",235,21
"B Kumar",299,21
"SPD Smith",306,21
"MN Samuels",307,21
"HV Patel",311,21
"S Nadeem",293,20
"AC Thomas",274,20
"SB Wagh",273,20
"MS Wade",271,20
"WD Parnell",267,20
"AJ Finch",254,20
"R Sharma",235,20
"UT Yadav",232,20
"MD Mishra",231,20
"AA Jhunjhunwala",211,20
"DA Warner",187,20
"M Manhas",171,20
"JD Ryder",157,20
"AB Dinda",106,20
"GC Smith",74,20
"Y Venugopal Rao",54,20
"RV Uthappa",46,20
"V Sehwag",41,20
"IK Pathan",29,20
"Yuvraj Singh",27,20
"JR Hopes",25,20
"R Dravid",6,20
"V Kohli",8,20
"JH Kallis",9,20
"MV Boucher",11,20
"P Kumar",14,20
"KC Sangakkara",26,20
"Yuvraj Singh",27,20
"IK Pathan",29,20
"M Kaif",33,20
"RV Uthappa",46,20
"DPMD Jayawardene",64,20
"PP Chawla",67,20
"S Sreesanth",77,20
"R Vinay Kumar",81,20
"DW Steyn",94,20
"MK Pandey",96,20
"A Kumble",124,20
"RS Bopara",161,20
"YA Abdulla",215,20
"EJG Morgan",216,20
"Bipul Sharma",228,20
"JP Duminy",154,20
"M Muralitharan",121,20
"AB de Villiers",110,20
"Yuvraj Singh",27,20
"V Kohli",8,20
"V Kohli",8,20
"Harbhajan Singh",50,20
"RG Sharma",57,20
"AB de Villiers",110,20
"CH Gayle",162,20
"SL Malinga",194,20
"AT Rayudu",208,20
"KA Pollard",221,20
"Mandeep Singh",236,20
"S Aravind",270,20
"HV Patel",311,20
"JJ Bumrah",375,20
"MA Starc",378,20
"YS Chahal",382,20
"LMP Simmons",383,20
"J Suchith",398,20
"HH Pandya",400,20
"D Wiese",401,20
"SN Khan",402,20
"MJ McClenaghan",403,20
"V Kohli",8,20
"SR Watson",32,20
"AB de Villiers",110,20
"CH Gayle",162,20
"M Vijay",185,20
"STR Binny",255,20
"S Aravind",270,20
"VR Aaron",296,20
"DA Miller",320,20
"Gurkeerat Singh",329,20
"MM Sharma",364,20
"Sandeep Sharma",367,20
"Sachin Baby",369,20
"AR Patel",374,20
"YS Chahal",382,20
"KJ Abbott",416,20
"KC Cariappa",422,20
"HM Amla",427,20
"F Behardien",428,20
"CJ Jordan",434,20
"AB de Villiers",110,20
"CH Gayle",162,20
"STR Binny",255,20
"VR Aaron",296,20
"SPD Smith",306,20
"JP Faulkner",310,20
"KK Nair",339,20
"KW Richardson",363,20
"PV Tambe",370,20
"MA Starc",378,20
"YS Chahal",382,20
"VH Zol",384,20
"R Tewatia",390,20
"Imran Tahir",386,20
"VH Zol",384,20
"YS Chahal",382,20
"MA Starc",378,20
"S Kaul",368,20
"Mohammed Shami",347,20
"R Shukla",342,20
"S Rana",301,20
"AN Ahmed",246,20
"KM Jadhav",237,20
"M Vijay",185,20
"CH Gayle",162,20
"KP Pietersen",158,20
"JA Morkel",109,20
"AB Dinda",106,20
"R Bhatia",89,20
"AM Rahane",85,20
"SR Watson",32,20
"Yuvraj Singh",27,20
"V Kohli",8,20
"P Suyal",453,19
"J Suchith",398,19
"LMP Simmons",383,19
"CJ Anderson",372,19
"MM Sharma",364,19
"Z Khan",15,19
"Harbhajan Singh",50,19
"RG Sharma",57,19
"R Vinay Kumar",81,19
"A Mishra",136,19
"JP Duminy",154,19
"AT Rayudu",208,19
"KA Pollard",221,19
"S Nadeem",293,19
"IC Pandey",359,19
"F du Plessis",303,19
"KA Pollard",221,19
"AT Rayudu",208,19
"R Ashwin",201,19
"SL Malinga",194,19
"DR Smith",147,19
"R Vinay Kumar",81,19
"YK Pathan",31,19
"G Gambhir",40,19
"RV Uthappa",46,19
"PP Chawla",67,19
"MK Pandey",96,19
"M Vijay",185,19
"J Botha",192,19
"GJ Bailey",197,19
"UT Yadav",232,19
"GJ Maxwell",305,19
"SA Yadav",308,19
"SP Narine",315,19
"GB Hogg",316,19
"DA Miller",320,19
"Gurkeerat Singh",329,19
"A Nehra",73,19
"DJ Bravo",71,19
"RG Sharma",57,19
"Harbhajan Singh",50,19
"RA Jadeja",35,19
"SK Raina",21,19
"MS Dhoni",20,19
"BB McCullum",2,19
"AD Russell",334,19
"M Vohra",345,19
"Sandeep Sharma",367,19
"AR Patel",374,19
"KK Nair",339,19
"CH Morris",350,19
"JJ Bumrah",375,19
"Imran Tahir",386,19
"MJ McClenaghan",403,19
"KH Pandya",413,19
"MJ Guptill",415,19
"N Rana",431,19
"BE Hendricks",387,19
"Anureet Singh",395,19
"MEK Hussey",19,19
"MS Dhoni",20,19
"SK Raina",21,19
"RA Jadeja",35,19
"Harbhajan Singh",50,19
"RG Sharma",57,19
"DJ Bravo",71,19
"A Nehra",73,19
"R Vinay Kumar",81,19
"DR Smith",147,19
"SL Malinga",194,19
"R Ashwin",201,19
"AT Rayudu",208,19
"KA Pollard",221,19
"F du Plessis",303,19
"P Negi",322,19
"MM Sharma",364,19
"LMP Simmons",383,19
"J Suchith",398,19
"HH Pandya",400,19
"MJ McClenaghan",403,19
"CL White",10,19
"KC Sangakkara",26,19
"IK Pathan",29,19
"V Sehwag",41,19
"S Dhawan",42,19
"Y Venugopal Rao",54,19
"DPMD Jayawardene",64,19
"MS Gony",120,19
"A Mishra",136,19
"JP Duminy",154,19
"DA Warner",187,19
"M Morkel",190,19
"Y Nagar",199,19
"S Nadeem",293,19
"VR Aaron",296,19
"DJ Harris",313,19
"Ankit Sharma",314,19
"A Ashish Reddy",325,19
"AD Russell",334,19
"TP Sudhindra",450,19
"DJ Hussey",4,19
"V Kohli",8,19
"P Kumar",14,19
"M Kaif",33,19
"AM Nayar",48,19
"AC Gilchrist",53,19
"PP Chawla",67,19
"SE Marsh",100,19
"AB de Villiers",110,19
"CH Gayle",162,19
"PC Valthaty",167,19
"RJ Harris",188,19
"SJ Srivastava",234,19
"Mandeep Singh",236,19
"KB Arun Karthik",239,19
"CK Langeveldt",242,19
"A Mithun",244,19
"AUK Pathan",261,19
"JJ van der Wath",268,19
"S Aravind",270,19
"MS Dhoni",20,18
"SK Raina",21,18
"S Badrinath",23,18
"T Kohli",30,18
"YK Pathan",31,18
"M Kaif",33,18
"D Salunkhe",37,18
"SK Warne",38,18
"GC Smith",74,18
"Pankaj Singh",75,18
"SA Asnodkar",101,18
"Sohail Tanvir",102,18
"JA Morkel",109,18
"MS Gony",120,18
"M Muralitharan",121,18
"M Ntini",122,18
"MM Patel",126,18
"L Balaji",151,18
"A Mukund",152,18
"JD Unadkat",346,18
"SJ Srivastava",234,18
"M Muralitharan",121,18
"PP Ojha",131,18
"L Balaji",151,18
"TL Suman",178,18
"M Vijay",185,18
"R Ashwin",201,18
"Anirudh Singh",205,18
"Jaskaran Singh",206,18
"JM Kemp",217,18
"S Tyagi",218,18
"J Theron",233,18
"Bipul Sharma",228,18
"SE Bond",220,18
"CA Pujara",203,18
"AD Mathews",191,18
"CH Gayle",162,18
"RS Bopara",161,18
"RR Powar",153,18
"MK Tiwary",87,18
"M Kartik",83,18
"AB Agarkar",82,18
"PP Chawla",67,18
"DPMD Jayawardene",64,18
"IK Pathan",29,18
"Yuvraj Singh",27,18
